IVFPQ

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: A9N025, Distance: 2.626
Nearest neighbor-12: P39099, Distance: 2.656
Nearest neighbor-13: B0KV30, Distance: 2.721
Nearest neighbor-14: P57003, Distance: 2.721
Nearest neighbor-15: Q9Z4H7, Distance: 2.725
Nearest neighbor-16: O06432, Distance: 2.765
Nearest neighbor-17: Q6G9D9, Distance: 2.771
Nearest neighbor-18: O05156, Distance: 2.792
Nearest neighbor-19: Q4R4J7, Distance: 2.806
Nearest neighbor-20: Q4IJH1, Distance: 2.822
Nearest neighbor-21: A6ZQH3, Distance: 2.837
Nearest neighbor-22: B0RLE5, Distance: 2.857
Nearest neighbor-23: Q9TYV5, Distance: 2.861
Nearest neighbor-24: B4RCD1, Distance: 2.938
Nearest neighbor-25: A3P6Z9, Distance: 2.939
Nearest neighbor-26: I1WUC2, Distance: 2.942
Nearest neighbor-27: Q62B05, Distance: 2.952
Nearest neighbor-28: A1AV44, Distance: 3.009
Nearest neighbor-29: Q11HC6, Distance: 3.044
Nearest neighbor-30: P13113, Distance: 3.074
Nearest neighbor-31: O34966, Distance: 3.122
Nearest neighbor-32: Q8DQ24, Distance: 3.149
Nearest neighbor-33: C1CK62, Distance: 3.150
Nearest neighbor-34: Q9SDD6, Distance: 3.177
Nearest neighbor-35: Q9ZCW9, Distance: 3.178
Nearest neighbor-36: A5G7V2, Distance: 3.227
Nearest neighbor-37: P0AEV0, Distance: 3.230
Nearest neighbor-38: Q68WF3, Distance: 3.233
Nearest neighbor-39: Q71XE6, Distance: 3.266
Nearest neighbor-40: Q929F4, Distance: 3.281
Nearest neighbor-41: P86769, Distance: 3.332
Nearest neighbor-42: P86750, Distance: 3.345
Nearest neighbor-43: Q10168, Distance: 3.369
Nearest neighbor-44: Q5NVP7, Distance: 3.444
Nearest neighbor-45: P35001, Distance: 3.489
Nearest neighbor-46: P44935, Distance: 3.523
Nearest neighbor-47: B4TK52, Distance: 3.605
Nearest neighbor-48: Q6NWH2, Distance: 3.704
Nearest neighbor-49: P80723, Distance: 4.005
Nearest neighbor-50: P16527, Distance: 4.066

Query: A0A001
Nearest neighbor-1: Q03024, Distance: 1.465
Nearest neighbor-2: A0K739, Distance: 1.761
Nearest neighbor-3: Q51719, Distance: 1.770
Nearest neighbor-4: Q21BF6, Distance: 1.831
Nearest neighbor-5: Q82MV1, Distance: 1.872
Nearest neighbor-6: P9WQJ4, Distance: 1.903
Nearest neighbor-7: Q7WGW1, Distance: 1.919
Nearest neighbor-8: Q7VZE5, Distance: 1.923
Nearest neighbor-9: Q2J3T0, Distance: 1.965
Nearest neighbor-10: Q63NR0, Distance: 2.024
Nearest neighbor-11: Q2T751, Distance: 2.038
Nearest neighbor-12: Q89ER4, Distance: 2.054
Nearest neighbor-13: A5WJJ8, Distance: 2.081
Nearest neighbor-14: P64708, Distance: 2.081
Nearest neighbor-15: D3KU66, Distance: 2.085
Nearest neighbor-16: Q62H59, Distance: 2.092
Nearest neighbor-17: A4X1R6, Distance: 2.124
Nearest neighbor-18: A1UKA3, Distance: 2.142
Nearest neighbor-19: P9WGX2, Distance: 2.154
Nearest neighbor-20: Q82G92, Distance: 2.164
Nearest neighbor-21: P9WIL0, Distance: 2.169
Nearest neighbor-22: A8LVF4, Distance: 2.175
Nearest neighbor-23: C7MSY6, Distance: 2.175
Nearest neighbor-24: B1VN94, Distance: 2.190
Nearest neighbor-25: D2Q1C4, Distance: 2.194
Nearest neighbor-26: E1V4F9, Distance: 2.215
Nearest neighbor-27: A0QS28, Distance: 2.223
Nearest neighbor-28: B7GQ78, Distance: 2.276
Nearest neighbor-29: A3PHS8, Distance: 2.288
Nearest neighbor-30: P64866, Distance: 2.292
Nearest neighbor-31: Q9EX73, Distance: 2.300
Nearest neighbor-32: Q1AS21, Distance: 2.302
Nearest neighbor-33: A9INR9, Distance: 2.315
Nearest neighbor-34: A3NWL7, Distance: 2.341
Nearest neighbor-35: B7KSC1, Distance: 2.355
Nearest neighbor-36: Q8PCK0, Distance: 2.406
Nearest neighbor-37: Q2T2K1, Distance: 2.412
Nearest neighbor-38: Q0AMW7, Distance: 2.413
Nearest neighbor-39: Q7U1S4, Distance: 2.446
Nearest neighbor-40: Q5FUJ5, Distance: 2.452
Nearest neighbor-41: A5UTG1, Distance: 2.470
Nearest neighbor-42: A9IMI9, Distance: 2.486
Nearest neighbor-43: Q8PAD3, Distance: 2.538
Nearest neighbor-44: B0RV00, Distance: 2.557
Nearest neighbor-45: Q2YLY5, Distance: 2.562
Nearest neighbor-46: Q7W6L5, Distance: 2.577
Nearest neighbor-47: P23262, Distance: 2.597
Nearest neighbor-48: B3PTW0, Distance: 2.629
Nearest neighbor-49: B1LVB8, Distance: 2.631
Nearest neighbor-50: Q9I0F2, Distance: 2.728

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q99ZA5, Distance: 0.806
Nearest neighbor-8: Q1JBD1, Distance: 0.807
Nearest neighbor-9: Q5X0E6, Distance: 0.828
Nearest neighbor-10: A1A7A6, Distance: 0.837
Nearest neighbor-11: A7ZW09, Distance: 0.845
Nearest neighbor-12: P0C9B2, Distance: 0.846
Nearest neighbor-13: Q03AL7, Distance: 0.856
Nearest neighbor-14: Q9ZKA0, Distance: 0.868
Nearest neighbor-15: Q50939, Distance: 0.869
Nearest neighbor-16: C0MBD7, Distance: 0.877
Nearest neighbor-17: Q5PDF0, Distance: 0.891
Nearest neighbor-18: Q54986, Distance: 0.891
Nearest neighbor-19: A7FKM4, Distance: 0.891
Nearest neighbor-20: Q49VV6, Distance: 0.896
Nearest neighbor-21: B1IC35, Distance: 0.898
Nearest neighbor-22: B5FI41, Distance: 0.898
Nearest neighbor-23: Q71WT9, Distance: 0.922
Nearest neighbor-24: A3CNJ9, Distance: 0.922
Nearest neighbor-25: Q8CWX7, Distance: 0.926
Nearest neighbor-26: Q8F8A9, Distance: 0.930
Nearest neighbor-27: B1L280, Distance: 0.959
Nearest neighbor-28: P0DOQ3, Distance: 0.966
Nearest neighbor-29: P05807, Distance: 0.977
Nearest neighbor-30: A4W8C2, Distance: 0.990
Nearest neighbor-31: Q2WCN1, Distance: 0.994
Nearest neighbor-32: Q47EI2, Distance: 1.001
