IVFPQ

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: Q68XI8, Distance: 2.551
Nearest neighbor-12: B5XWP9, Distance: 2.557
Nearest neighbor-13: A9N025, Distance: 2.626
Nearest neighbor-14: B0KV30, Distance: 2.721
Nearest neighbor-15: O06432, Distance: 2.765
Nearest neighbor-16: A5TY84, Distance: 2.767
Nearest neighbor-17: A1JKX1, Distance: 2.772
Nearest neighbor-18: P54744, Distance: 2.774
Nearest neighbor-19: Q1CK59, Distance: 2.775
Nearest neighbor-20: Q4R4J7, Distance: 2.806
Nearest neighbor-21: Q4IJH1, Distance: 2.822
Nearest neighbor-22: B0RLE5, Distance: 2.857
Nearest neighbor-23: Q9TYV5, Distance: 2.861
Nearest neighbor-24: Q5AJD0, Distance: 2.900
Nearest neighbor-25: O52042, Distance: 2.904
Nearest neighbor-26: P08003, Distance: 2.937
Nearest neighbor-27: B4RCD1, Distance: 2.938
Nearest neighbor-28: A3P6Z9, Distance: 2.939
Nearest neighbor-29: Q00248, Distance: 2.940
Nearest neighbor-30: I1WUC2, Distance: 2.942
Nearest neighbor-31: Q62B05, Distance: 2.952
Nearest neighbor-32: Q8FEI7, Distance: 2.952
Nearest neighbor-33: Q0CZS8, Distance: 2.974
Nearest neighbor-34: Q7RYV0, Distance: 3.002
Nearest neighbor-35: A1AV44, Distance: 3.009
Nearest neighbor-36: P39046, Distance: 3.025
Nearest neighbor-37: Q11HC6, Distance: 3.044
Nearest neighbor-38: P13113, Distance: 3.074
Nearest neighbor-39: O34966, Distance: 3.122
Nearest neighbor-40: Q8DQ24, Distance: 3.149
Nearest neighbor-41: C1CK62, Distance: 3.150
Nearest neighbor-42: B7M0V3, Distance: 3.157
Nearest neighbor-43: Q8FD50, Distance: 3.158
Nearest neighbor-44: P0A4D7, Distance: 3.189
Nearest neighbor-45: P16946, Distance: 3.193
Nearest neighbor-46: B2VGW1, Distance: 3.210
Nearest neighbor-47: Q9I4Z4, Distance: 3.264
Nearest neighbor-48: Q71XE6, Distance: 3.266
Nearest neighbor-49: Q929F4, Distance: 3.281
Nearest neighbor-50: Q10168, Distance: 3.369

Query: A0A001
Nearest neighbor-1: P9WQJ3, Distance: 1.340
Nearest neighbor-2: Q13BH6, Distance: 1.423
Nearest neighbor-3: Q03024, Distance: 1.465
Nearest neighbor-4: Q20Z38, Distance: 1.526
Nearest neighbor-5: Q9ZEP3, Distance: 1.757
Nearest neighbor-6: A0K739, Distance: 1.761
Nearest neighbor-7: Q8P8W4, Distance: 1.770
Nearest neighbor-8: Q51719, Distance: 1.770
Nearest neighbor-9: Q21BF6, Distance: 1.831
Nearest neighbor-10: Q82MV1, Distance: 1.872
Nearest neighbor-11: P9WQJ4, Distance: 1.903
Nearest neighbor-12: Q28433, Distance: 1.905
Nearest neighbor-13: Q7WGW1, Distance: 1.919
Nearest neighbor-14: Q7VZE5, Distance: 1.923
Nearest neighbor-15: Q2J3T0, Distance: 1.965
Nearest neighbor-16: Q2T751, Distance: 2.038
Nearest neighbor-17: Q89ER4, Distance: 2.054
Nearest neighbor-18: Q67JX3, Distance: 2.061
Nearest neighbor-19: Q13RD3, Distance: 2.061
Nearest neighbor-20: P64708, Distance: 2.081
Nearest neighbor-21: A5WJJ8, Distance: 2.081
Nearest neighbor-22: Q62H59, Distance: 2.092
Nearest neighbor-23: A4X1R6, Distance: 2.124
Nearest neighbor-24: Q87UH7, Distance: 2.125
Nearest neighbor-25: O69051, Distance: 2.125
Nearest neighbor-26: Q9HYF9, Distance: 2.142
Nearest neighbor-27: Q4ZZK0, Distance: 2.161
Nearest neighbor-28: Q0BH79, Distance: 2.180
Nearest neighbor-29: Q3SQ65, Distance: 2.188
Nearest neighbor-30: A0K5N5, Distance: 2.193
Nearest neighbor-31: Q3KJQ7, Distance: 2.194
Nearest neighbor-32: Q8GNH6, Distance: 2.205
Nearest neighbor-33: Q92N13, Distance: 2.220
Nearest neighbor-34: Q665B6, Distance: 2.223
Nearest neighbor-35: A5VU86, Distance: 2.223
Nearest neighbor-36: Q66D71, Distance: 2.255
Nearest neighbor-37: Q3KKA1, Distance: 2.281
Nearest neighbor-38: Q9PF03, Distance: 2.282
Nearest neighbor-39: Q88RL1, Distance: 2.294
Nearest neighbor-40: Q6RCE0, Distance: 2.321
Nearest neighbor-41: Q576E0, Distance: 2.332
Nearest neighbor-42: Q9HYL7, Distance: 2.339
Nearest neighbor-43: Q3Z3V4, Distance: 2.347
Nearest neighbor-44: P75796, Distance: 2.353
Nearest neighbor-45: Q2ISN3, Distance: 2.398
Nearest neighbor-46: Q7NTN6, Distance: 2.420
Nearest neighbor-47: A7ZLX1, Distance: 2.433
Nearest neighbor-48: Q9F9B0, Distance: 2.454
Nearest neighbor-49: Q66AT7, Distance: 2.562
Nearest neighbor-50: Q3YUN6, Distance: 2.698

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: Q9SU78, Distance: 1.312
Nearest neighbor-9: Q756D0, Distance: 1.316
Nearest neighbor-10: Q9P7C0, Distance: 1.318
Nearest neighbor-11: A2RAG5, Distance: 1.326
Nearest neighbor-12: C1GB49, Distance: 1.326
Nearest neighbor-13: O35828, Distance: 1.332
Nearest neighbor-14: Q8VYZ5, Distance: 1.352
Nearest neighbor-15: O82266, Distance: 1.358
Nearest neighbor-16: Q652L2, Distance: 1.370
Nearest neighbor-17: Q20059, Distance: 1.371
Nearest neighbor-18: Q6C709, Distance: 1.371
Nearest neighbor-19: A8NZM5, Distance: 1.381
Nearest neighbor-20: A1CBB8, Distance: 1.384
Nearest neighbor-21: Q8TEB1, Distance: 1.391
Nearest neighbor-22: Q5NVM2, Distance: 1.393
Nearest neighbor-23: A4IGH4, Distance: 1.400
Nearest neighbor-24: C5DF48, Distance: 1.410
Nearest neighbor-25: A1DE24, Distance: 1.417
Nearest neighbor-26: Q96U88, Distance: 1.420
Nearest neighbor-27: A8XSW2, Distance: 1.420
Nearest neighbor-28: G5EEG7, Distance: 1.437
Nearest neighbor-29: Q4R4I8, Distance: 1.438
Nearest neighbor-30: Q8BX09, Distance: 1.441
Nearest neighbor-31: Q4P553, Distance: 1.446
Nearest neighbor-32: Q8CFJ9, Distance: 1.451
