IVFPQ

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: B5XWP9, Distance: 2.557
Nearest neighbor-12: A9N025, Distance: 2.626
Nearest neighbor-13: A8AH10, Distance: 2.644
Nearest neighbor-14: P39099, Distance: 2.656
Nearest neighbor-15: C6DH15, Distance: 2.663
Nearest neighbor-16: B0KV30, Distance: 2.721
Nearest neighbor-17: Q9Z4H7, Distance: 2.725
Nearest neighbor-18: B4T0Q0, Distance: 2.730
Nearest neighbor-19: O06432, Distance: 2.765
Nearest neighbor-20: A5TY84, Distance: 2.767
Nearest neighbor-21: Q6G9D9, Distance: 2.771
Nearest neighbor-22: B5RCZ3, Distance: 2.774
Nearest neighbor-23: A1AE54, Distance: 2.800
Nearest neighbor-24: Q0TEW9, Distance: 2.802
Nearest neighbor-25: Q4R4J7, Distance: 2.806
Nearest neighbor-26: A6ZQH3, Distance: 2.837
Nearest neighbor-27: B0RLE5, Distance: 2.857
Nearest neighbor-28: O52042, Distance: 2.904
Nearest neighbor-29: B4RCD1, Distance: 2.938
Nearest neighbor-30: A3P6Z9, Distance: 2.939
Nearest neighbor-31: I1WUC2, Distance: 2.942
Nearest neighbor-32: Q62B05, Distance: 2.952
Nearest neighbor-33: Q7RYV0, Distance: 3.002
Nearest neighbor-34: A1AV44, Distance: 3.009
Nearest neighbor-35: Q05623, Distance: 3.028
Nearest neighbor-36: P13113, Distance: 3.074
Nearest neighbor-37: O34966, Distance: 3.122
Nearest neighbor-38: Q8DQ24, Distance: 3.149
Nearest neighbor-39: C1CK62, Distance: 3.150
Nearest neighbor-40: B7M0V3, Distance: 3.157
Nearest neighbor-41: Q8FD50, Distance: 3.158
Nearest neighbor-42: B1JKI2, Distance: 3.173
Nearest neighbor-43: B5FIU3, Distance: 3.176
Nearest neighbor-44: P53163, Distance: 3.187
Nearest neighbor-45: P16946, Distance: 3.193
Nearest neighbor-46: B2VGW1, Distance: 3.210
Nearest neighbor-47: P0AEV0, Distance: 3.230
Nearest neighbor-48: Q71XE6, Distance: 3.266
Nearest neighbor-49: Q10168, Distance: 3.369
Nearest neighbor-50: P43497, Distance: 3.748

Query: A0A009HPM0
Nearest neighbor-1: B2TWG0, Distance: 1.437
Nearest neighbor-2: B1LNS5, Distance: 1.449
Nearest neighbor-3: Q88XP4, Distance: 1.452
Nearest neighbor-4: A1RP91, Distance: 1.454
Nearest neighbor-5: B5BJN9, Distance: 1.457
Nearest neighbor-6: Q5PK68, Distance: 1.457
Nearest neighbor-7: B0VRJ4, Distance: 1.482
Nearest neighbor-8: Q7MHY6, Distance: 1.486
Nearest neighbor-9: A6VLF9, Distance: 1.487
Nearest neighbor-10: Q7MAX6, Distance: 1.495
Nearest neighbor-11: A3QHZ8, Distance: 1.497
Nearest neighbor-12: B0VKL3, Distance: 1.506
Nearest neighbor-13: A8GL74, Distance: 1.512
Nearest neighbor-14: Q12SP8, Distance: 1.523
Nearest neighbor-15: A3D8E4, Distance: 1.525
Nearest neighbor-16: C5BC48, Distance: 1.536
Nearest neighbor-17: B6EL06, Distance: 1.543
Nearest neighbor-18: B4ET17, Distance: 1.559
Nearest neighbor-19: Q9CL07, Distance: 1.567
Nearest neighbor-20: Q3IHQ6, Distance: 1.579
Nearest neighbor-21: A4TQK1, Distance: 1.585
Nearest neighbor-22: B6I4D2, Distance: 1.588
Nearest neighbor-23: Q8EIL1, Distance: 1.593
Nearest neighbor-24: B6HZX3, Distance: 1.597
Nearest neighbor-25: Q7MIT5, Distance: 1.600
Nearest neighbor-26: Q6D3S2, Distance: 1.623
Nearest neighbor-27: Q2NQZ6, Distance: 1.651
Nearest neighbor-28: A9MRB9, Distance: 1.653
Nearest neighbor-29: B5F512, Distance: 1.656
Nearest neighbor-30: B0BTC2, Distance: 1.657
Nearest neighbor-31: P76261, Distance: 1.658
Nearest neighbor-32: B2TZQ2, Distance: 1.686
Nearest neighbor-33: Q9RHS9, Distance: 1.690
Nearest neighbor-34: A6VW36, Distance: 1.691
Nearest neighbor-35: Q1CGA8, Distance: 1.694
Nearest neighbor-36: Q12R91, Distance: 1.695
Nearest neighbor-37: C3K2F6, Distance: 1.698
Nearest neighbor-38: Q57R80, Distance: 1.728
Nearest neighbor-39: B0V7R3, Distance: 1.730
Nearest neighbor-40: Q55370, Distance: 1.737
Nearest neighbor-41: Q47282, Distance: 1.739
Nearest neighbor-42: B1JQP6, Distance: 1.744
Nearest neighbor-43: Q5PGN2, Distance: 1.756
Nearest neighbor-44: Q9JZ24, Distance: 1.778
Nearest neighbor-45: C5BED3, Distance: 1.814
Nearest neighbor-46: Q9PH03, Distance: 1.846
Nearest neighbor-47: Q3M3Q5, Distance: 1.894
Nearest neighbor-48: Q884N3, Distance: 1.922
Nearest neighbor-49: P73161, Distance: 1.942
Nearest neighbor-50: Q9CN81, Distance: 1.959

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q06065, Distance: 0.887
Nearest neighbor-3: P23747, Distance: 0.951
Nearest neighbor-4: P59402, Distance: 0.987
Nearest neighbor-5: A8A3I6, Distance: 0.999
Nearest neighbor-6: B6I695, Distance: 1.009
Nearest neighbor-7: A1KU52, Distance: 1.011
Nearest neighbor-8: B7N6T9, Distance: 1.013
Nearest neighbor-9: Q0TEH1, Distance: 1.015
Nearest neighbor-10: P36219, Distance: 1.027
Nearest neighbor-11: B4T3B0, Distance: 1.029
Nearest neighbor-12: B4TT16, Distance: 1.039
Nearest neighbor-13: Q8EEF3, Distance: 1.051
Nearest neighbor-14: Q3K999, Distance: 1.069
Nearest neighbor-15: B5F3J7, Distance: 1.088
Nearest neighbor-16: P66756, Distance: 1.088
Nearest neighbor-17: P0A812, Distance: 1.095
Nearest neighbor-18: Q15RN6, Distance: 1.100
Nearest neighbor-19: B7NBL1, Distance: 1.103
Nearest neighbor-20: Q03R36, Distance: 1.103
Nearest neighbor-21: Q03YJ6, Distance: 1.105
Nearest neighbor-22: A5FRK7, Distance: 1.124
Nearest neighbor-23: Q220I3, Distance: 1.135
Nearest neighbor-24: B0JY77, Distance: 1.142
Nearest neighbor-25: A1U1B9, Distance: 1.176
Nearest neighbor-26: Q5H2A4, Distance: 1.188
Nearest neighbor-27: Q3BQF5, Distance: 1.191
Nearest neighbor-28: Q13UC0, Distance: 1.192
Nearest neighbor-29: Q7WGB3, Distance: 1.214
Nearest neighbor-30: P0DF50, Distance: 1.220
Nearest neighbor-31: Q88V03, Distance: 1.229
Nearest neighbor-32: Q9KDI8, Distance: 1.240
Nearest neighbor-33: P61529, Distance: 1.248
