IVFPQ

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q99ZA5, Distance: 0.806
Nearest neighbor-8: Q1JBD1, Distance: 0.807
Nearest neighbor-9: Q5X0E6, Distance: 0.828
Nearest neighbor-10: A1A7A6, Distance: 0.837
Nearest neighbor-11: A7ZW09, Distance: 0.845
Nearest neighbor-12: P0C9B2, Distance: 0.846
Nearest neighbor-13: Q03AL7, Distance: 0.856
Nearest neighbor-14: Q9ZKA0, Distance: 0.868
Nearest neighbor-15: Q50939, Distance: 0.869
Nearest neighbor-16: C0MBD7, Distance: 0.877
Nearest neighbor-17: Q5PDF0, Distance: 0.891
Nearest neighbor-18: Q54986, Distance: 0.891
Nearest neighbor-19: A7FKM4, Distance: 0.891
Nearest neighbor-20: Q49VV6, Distance: 0.896
Nearest neighbor-21: B1IC35, Distance: 0.898
Nearest neighbor-22: B5FI41, Distance: 0.898
Nearest neighbor-23: Q71WT9, Distance: 0.922
Nearest neighbor-24: A3CNJ9, Distance: 0.922
Nearest neighbor-25: Q8CWX7, Distance: 0.926
Nearest neighbor-26: Q8F8A9, Distance: 0.930
Nearest neighbor-27: P0DOQ3, Distance: 0.966
Nearest neighbor-28: P05807, Distance: 0.977
Nearest neighbor-29: Q57RF9, Distance: 0.983
Nearest neighbor-30: A9MTI2, Distance: 0.983
Nearest neighbor-31: C0PWY7, Distance: 0.983
Nearest neighbor-32: B5F076, Distance: 0.983
Nearest neighbor-33: Q6GIN3, Distance: 1.009
Nearest neighbor-34: Q5HHR0, Distance: 1.009
Nearest neighbor-35: Q8NXM0, Distance: 1.015
Nearest neighbor-36: B7NA78, Distance: 1.016
Nearest neighbor-37: A7ZY35, Distance: 1.016
Nearest neighbor-38: C5BEJ2, Distance: 1.040
Nearest neighbor-39: Q3Z9B4, Distance: 1.054
Nearest neighbor-40: Q631I6, Distance: 1.085
Nearest neighbor-41: Q641Y8, Distance: 1.148
Nearest neighbor-42: Q65191, Distance: 1.163
Nearest neighbor-43: Q5NVJ8, Distance: 1.167
Nearest neighbor-44: P40562, Distance: 1.189
Nearest neighbor-45: Q4WWE9, Distance: 1.214
Nearest neighbor-46: Q21489, Distance: 1.214
Nearest neighbor-47: Q55G81, Distance: 1.245
Nearest neighbor-48: P18074, Distance: 1.259
Nearest neighbor-49: Q10D00, Distance: 1.288
Nearest neighbor-50: Q03VV4, Distance: 1.408

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-2: Q0HMR2, Distance: 0.521
Nearest neighbor-3: A0KGL5, Distance: 0.521
Nearest neighbor-4: A1A7A6, Distance: 0.573
Nearest neighbor-5: A7ZW09, Distance: 0.579
Nearest neighbor-6: B0BT63, Distance: 0.579
Nearest neighbor-7: A7MSB2, Distance: 0.586
Nearest neighbor-8: Q48LP5, Distance: 0.609
Nearest neighbor-9: B5FI41, Distance: 0.610
Nearest neighbor-10: Q5PDF0, Distance: 0.613
Nearest neighbor-11: Q3KGV8, Distance: 0.669
Nearest neighbor-12: Q9HYT6, Distance: 0.745
Nearest neighbor-13: A7FKM4, Distance: 0.940
Nearest neighbor-14: C5BEJ2, Distance: 0.943
Nearest neighbor-15: C0PWY7, Distance: 0.987
Nearest neighbor-16: A9MTI2, Distance: 0.987
Nearest neighbor-17: B5F076, Distance: 0.987
Nearest neighbor-18: Q57RF9, Distance: 0.987
Nearest neighbor-19: Q5X0E6, Distance: 0.999
Nearest neighbor-20: A4W8C2, Distance: 1.027
Nearest neighbor-21: A7ZY35, Distance: 1.051
Nearest neighbor-22: B7NA78, Distance: 1.051
Nearest neighbor-23: Q3K063, Distance: 1.067
Nearest neighbor-24: B8G8R1, Distance: 1.109
Nearest neighbor-25: A9WT85, Distance: 1.115
Nearest neighbor-26: Q50939, Distance: 1.140
Nearest neighbor-27: Q1JBD1, Distance: 1.148
Nearest neighbor-28: Q99ZA5, Distance: 1.154
Nearest neighbor-29: C0MBD7, Distance: 1.170
Nearest neighbor-30: Q8ZQN7, Distance: 1.172
Nearest neighbor-31: Q54986, Distance: 1.196
Nearest neighbor-32: B1IC35, Distance: 1.199
Nearest neighbor-33: Q47EI2, Distance: 1.202
Nearest neighbor-34: Q884C9, Distance: 1.206
Nearest neighbor-35: A1VDN0, Distance: 1.212
Nearest neighbor-36: Q7W8V6, Distance: 1.219
Nearest neighbor-37: Q03AL7, Distance: 1.219
Nearest neighbor-38: Q8CWX7, Distance: 1.227
Nearest neighbor-39: A3CNJ9, Distance: 1.237
Nearest neighbor-40: Q49VV6, Distance: 1.241
Nearest neighbor-41: P0C9B2, Distance: 1.249
Nearest neighbor-42: Q3Z9B4, Distance: 1.276
Nearest neighbor-43: Q71WT9, Distance: 1.288
Nearest neighbor-44: P18074, Distance: 1.364
Nearest neighbor-45: Q641Y8, Distance: 1.395
Nearest neighbor-46: Q9T1Q7, Distance: 1.414
Nearest neighbor-47: Q5NVJ8, Distance: 1.415
Nearest neighbor-48: Q65191, Distance: 1.425
Nearest neighbor-49: Q10D00, Distance: 1.528
Nearest neighbor-50: Q03VV4, Distance: 1.595

Query: A0A001
