IVFPQ

Query: A0A002
Nearest neighbor-1: Q51719, Distance: 1.778
Nearest neighbor-2: Q63NR0, Distance: 2.071
Nearest neighbor-3: C7MSY6, Distance: 2.128
Nearest neighbor-4: A5WJJ8, Distance: 2.150
Nearest neighbor-5: P64708, Distance: 2.150
Nearest neighbor-6: A4X1R6, Distance: 2.156
Nearest neighbor-7: D2Q1C4, Distance: 2.172
Nearest neighbor-8: Q82G92, Distance: 2.188
Nearest neighbor-9: A0QF52, Distance: 2.206
Nearest neighbor-10: B1VN94, Distance: 2.253
Nearest neighbor-11: C1AU55, Distance: 2.262
Nearest neighbor-12: Q5YYX9, Distance: 2.279
Nearest neighbor-13: A3PHS8, Distance: 2.331
Nearest neighbor-14: A5CS51, Distance: 2.335
Nearest neighbor-15: Q9EX73, Distance: 2.348
Nearest neighbor-16: B7GQ78, Distance: 2.359
Nearest neighbor-17: B8DP79, Distance: 2.360
Nearest neighbor-18: Q1IXV9, Distance: 2.372
Nearest neighbor-19: Q1AS21, Distance: 2.378
Nearest neighbor-20: B7KSC1, Distance: 2.385
Nearest neighbor-21: A3NWL7, Distance: 2.406
Nearest neighbor-22: A9INR9, Distance: 2.409
Nearest neighbor-23: Q9PFN3, Distance: 2.411
Nearest neighbor-24: Q87BC5, Distance: 2.439
Nearest neighbor-25: A9W3H8, Distance: 2.442
Nearest neighbor-26: Q9L7M3, Distance: 2.451
Nearest neighbor-27: C6E5S6, Distance: 2.468
Nearest neighbor-28: Q5FUJ5, Distance: 2.485
Nearest neighbor-29: B0KGD9, Distance: 2.509
Nearest neighbor-30: P43904, Distance: 2.514
Nearest neighbor-31: Q3JND8, Distance: 2.528
Nearest neighbor-32: B0U4Z7, Distance: 2.529
Nearest neighbor-33: Q7W6L5, Distance: 2.546
Nearest neighbor-34: P67233, Distance: 2.550
Nearest neighbor-35: Q603L1, Distance: 2.562
Nearest neighbor-36: C3MEM9, Distance: 2.579
Nearest neighbor-37: Q13TZ2, Distance: 2.591
Nearest neighbor-38: Q92NL9, Distance: 2.594
Nearest neighbor-39: Q67N06, Distance: 2.608
Nearest neighbor-40: B5FI72, Distance: 2.621
Nearest neighbor-41: B1LVB8, Distance: 2.638
Nearest neighbor-42: B3PTW0, Distance: 2.642
Nearest neighbor-43: Q1C676, Distance: 2.647
Nearest neighbor-44: Q668W7, Distance: 2.647
Nearest neighbor-45: Q7WF92, Distance: 2.687
Nearest neighbor-46: A0KLP0, Distance: 2.702
Nearest neighbor-47: A7MIE5, Distance: 2.716
Nearest neighbor-48: B7NHJ6, Distance: 2.719
Nearest neighbor-49: B7N7W3, Distance: 2.730
Nearest neighbor-50: Q7W4B4, Distance: 2.799

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: Q9SU78, Distance: 1.312
Nearest neighbor-9: Q756D0, Distance: 1.316
Nearest neighbor-10: Q9P7C0, Distance: 1.318
Nearest neighbor-11: A2RAG5, Distance: 1.326
Nearest neighbor-12: O35828, Distance: 1.332
Nearest neighbor-13: Q8VYZ5, Distance: 1.352
Nearest neighbor-14: O82266, Distance: 1.358
Nearest neighbor-15: Q652L2, Distance: 1.370
Nearest neighbor-16: Q20059, Distance: 1.371
Nearest neighbor-17: Q6C709, Distance: 1.371
Nearest neighbor-18: A8NZM5, Distance: 1.381
Nearest neighbor-19: A1CBB8, Distance: 1.384
Nearest neighbor-20: Q8TEB1, Distance: 1.391
Nearest neighbor-21: Q5NVM2, Distance: 1.393
Nearest neighbor-22: A4IGH4, Distance: 1.400
Nearest neighbor-23: C5DF48, Distance: 1.410
Nearest neighbor-24: A8XSW2, Distance: 1.420
Nearest neighbor-25: O22785, Distance: 1.433
Nearest neighbor-26: G5EEG7, Distance: 1.437
Nearest neighbor-27: Q4R4I8, Distance: 1.438
Nearest neighbor-28: Q8BX09, Distance: 1.441
Nearest neighbor-29: Q4P553, Distance: 1.446
Nearest neighbor-30: Q8CFJ9, Distance: 1.451
Nearest neighbor-31: Q9LJN8, Distance: 1.461
Nearest neighbor-32: Q24246, Distance: 1.475
Nearest neighbor-33: Q8R2N2, Distance: 1.479
Nearest neighbor-34: Q8BH57, Distance: 1.483
Nearest neighbor-35: Q05B30, Distance: 1.487
Nearest neighbor-36: P0CS37, Distance: 1.489
Nearest neighbor-37: Q8GYE0, Distance: 1.491
Nearest neighbor-38: P0DL28, Distance: 1.494
Nearest neighbor-39: O74340, Distance: 1.495
Nearest neighbor-40: Q2T9T9, Distance: 1.498
Nearest neighbor-41: Q6TEN6, Distance: 1.517
Nearest neighbor-42: Q5VQ78, Distance: 1.525
Nearest neighbor-43: B4GIJ0, Distance: 1.589
Nearest neighbor-44: Q9FMU5, Distance: 1.592
Nearest neighbor-45: O14011, Distance: 1.614
Nearest neighbor-46: B0R0D7, Distance: 1.640
Nearest neighbor-47: Q7ZWU5, Distance: 1.647
Nearest neighbor-48: G0SEA3, Distance: 1.714
Nearest neighbor-49: Q3SWZ7, Distance: 1.882
Nearest neighbor-50: Q63836, Distance: 1.994

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q99ZA5, Distance: 0.806
Nearest neighbor-8: Q1JBD1, Distance: 0.807
Nearest neighbor-9: Q5X0E6, Distance: 0.828
Nearest neighbor-10: A1A7A6, Distance: 0.837
Nearest neighbor-11: A7ZW09, Distance: 0.845
Nearest neighbor-12: P0C9B2, Distance: 0.846
Nearest neighbor-13: Q03AL7, Distance: 0.856
Nearest neighbor-14: Q9ZKA0, Distance: 0.868
Nearest neighbor-15: Q50939, Distance: 0.869
Nearest neighbor-16: C0MBD7, Distance: 0.877
Nearest neighbor-17: Q5PDF0, Distance: 0.891
Nearest neighbor-18: Q54986, Distance: 0.891
Nearest neighbor-19: A7FKM4, Distance: 0.891
Nearest neighbor-20: Q49VV6, Distance: 0.896
Nearest neighbor-21: B1IC35, Distance: 0.898
Nearest neighbor-22: B5FI41, Distance: 0.898
Nearest neighbor-23: Q71WT9, Distance: 0.922
Nearest neighbor-24: A3CNJ9, Distance: 0.922
Nearest neighbor-25: Q8CWX7, Distance: 0.926
Nearest neighbor-26: B1L280, Distance: 0.959
Nearest neighbor-27: C0PWY7, Distance: 0.983
Nearest neighbor-28: B5F076, Distance: 0.983
Nearest neighbor-29: A9MTI2, Distance: 0.983
Nearest neighbor-30: Q57RF9, Distance: 0.983
Nearest neighbor-31: A0KGL5, Distance: 1.029
Nearest neighbor-32: Q3SIK7, Distance: 1.039
Nearest neighbor-33: Q631I6, Distance: 1.085
Nearest neighbor-34: Q641Y8, Distance: 1.148
Nearest neighbor-35: B8G8R1, Distance: 1.151
Nearest neighbor-36: Q65191, Distance: 1.163
Nearest neighbor-37: Q5NVJ8, Distance: 1.167
Nearest neighbor-38: P40562, Distance: 1.189
Nearest neighbor-39: Q4WWE9, Distance: 1.214
Nearest neighbor-40: Q21489, Distance: 1.214
Nearest neighbor-41: Q55G81, Distance: 1.245
Nearest neighbor-42: Q8ZQN7, Distance: 1.257
Nearest neighbor-43: Q10D00, Distance: 1.288
Nearest neighbor-44: Q9T1Q7, Distance: 1.355
Nearest neighbor-45: B9DJK9, Distance: 1.399
Nearest neighbor-46: P67113, Distance: 1.472
Nearest neighbor-47: Q8P1T8, Distance: 1.479
Nearest neighbor-48: A8YUD6, Distance: 1.526
Nearest neighbor-49: Q5FL58, Distance: 1.527
Nearest neighbor-50: Q8CTE3, Distance: 1.547

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q8BX09, Distance: 1.439
Nearest neighbor-15: Q20059, Distance: 1.473
Nearest neighbor-16: A1DIN7, Distance: 1.491
Nearest neighbor-17: O35828, Distance: 1.503
Nearest neighbor-18: A2QI22, Distance: 1.511
Nearest neighbor-19: A1CXL0, Distance: 1.532
Nearest neighbor-20: Q96U88, Distance: 1.533
Nearest neighbor-21: Q8CFJ9, Distance: 1.542
Nearest neighbor-22: Q8W4D0, Distance: 1.551
Nearest neighbor-23: Q7XIT1, Distance: 1.566
Nearest neighbor-24: Q8TEB1, Distance: 1.576
Nearest neighbor-25: Q05B30, Distance: 1.587
Nearest neighbor-26: A8XSW2, Distance: 1.606
Nearest neighbor-27: Q4R4I8, Distance: 1.613
Nearest neighbor-28: Q8TBZ3, Distance: 1.627
Nearest neighbor-29: B0R0D7, Distance: 1.634
Nearest neighbor-30: P0DL28, Distance: 1.636
Nearest neighbor-31: Q4ICG8, Distance: 1.644
Nearest neighbor-32: A8NZM5, Distance: 1.646
Nearest neighbor-33: Q8N9V6, Distance: 1.664
Nearest neighbor-34: Q9FMU5, Distance: 1.667
Nearest neighbor-35: A2Y5T7, Distance: 1.674
Nearest neighbor-36: B3H5K9, Distance: 1.675
Nearest neighbor-37: P0CP30, Distance: 1.702
Nearest neighbor-38: Q7ZWU5, Distance: 1.702
Nearest neighbor-39: Q7SEZ0, Distance: 1.718
Nearest neighbor-40: Q5VQ78, Distance: 1.725
Nearest neighbor-41: Q9LTA6, Distance: 1.730
Nearest neighbor-42: Q4WCV3, Distance: 1.749
Nearest neighbor-43: P0CS08, Distance: 1.752
Nearest neighbor-44: Q2QX01, Distance: 1.796
Nearest neighbor-45: P37841, Distance: 1.823
Nearest neighbor-46: A0A1L7VEP9, Distance: 1.825
Nearest neighbor-47: Q63836, Distance: 1.875
Nearest neighbor-48: Q2U3W4, Distance: 1.884
Nearest neighbor-49: Q94A43, Distance: 2.005
Nearest neighbor-50: Q9LD47, Distance: 2.014

Query: A0A009PCK4
Nearest neighbor-1: P14181, Distance: 1.671
Nearest neighbor-2: A5UG81, Distance: 1.720
Nearest neighbor-3: P44033, Distance: 1.840
Nearest neighbor-4: Q4QLU9, Distance: 1.912
Nearest neighbor-5: A9KYL6, Distance: 1.983
Nearest neighbor-6: Q8E9R5, Distance: 2.009
Nearest neighbor-7: P44150, Distance: 2.020
Nearest neighbor-8: Q87PM1, Distance: 2.038
Nearest neighbor-9: P75612, Distance: 2.061
Nearest neighbor-10: B6EL06, Distance: 2.080
Nearest neighbor-11: Q6G4C4, Distance: 2.088
Nearest neighbor-12: P20098, Distance: 2.108
Nearest neighbor-13: B8CI04, Distance: 2.113
Nearest neighbor-14: A6VLF9, Distance: 2.119
Nearest neighbor-15: Q9CPH1, Distance: 2.131
Nearest neighbor-16: Q7VM59, Distance: 2.139
Nearest neighbor-17: A1RP91, Distance: 2.148
Nearest neighbor-18: Q3IHQ6, Distance: 2.154
Nearest neighbor-19: B4ET17, Distance: 2.158
Nearest neighbor-20: B7UKC3, Distance: 2.165
Nearest neighbor-21: Q1R5L6, Distance: 2.168
Nearest neighbor-22: A1AGU2, Distance: 2.168
Nearest neighbor-23: B7MJ93, Distance: 2.181
