IVFPQ

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: P39099, Distance: 2.656
Nearest neighbor-11: O06432, Distance: 2.765
Nearest neighbor-12: Q6G9D9, Distance: 2.771
Nearest neighbor-13: Q4R4J7, Distance: 2.806
Nearest neighbor-14: Q4IJH1, Distance: 2.822
Nearest neighbor-15: A6ZQH3, Distance: 2.837
Nearest neighbor-16: Q9TYV5, Distance: 2.861
Nearest neighbor-17: B4RCD1, Distance: 2.938
Nearest neighbor-18: A3P6Z9, Distance: 2.939
Nearest neighbor-19: Q00248, Distance: 2.940
Nearest neighbor-20: I1WUC2, Distance: 2.942
Nearest neighbor-21: Q62B05, Distance: 2.952
Nearest neighbor-22: P72780, Distance: 2.998
Nearest neighbor-23: Q7RYV0, Distance: 3.002
Nearest neighbor-24: A1AV44, Distance: 3.009
Nearest neighbor-25: Q11HC6, Distance: 3.044
Nearest neighbor-26: Q7V9F9, Distance: 3.123
Nearest neighbor-27: B7M0V3, Distance: 3.157
Nearest neighbor-28: Q8FD50, Distance: 3.158
Nearest neighbor-29: B1JKI2, Distance: 3.173
Nearest neighbor-30: B5FIU3, Distance: 3.176
Nearest neighbor-31: Q0J9V5, Distance: 3.187
Nearest neighbor-32: Q9L7M1, Distance: 3.199
Nearest neighbor-33: P07497, Distance: 3.201
Nearest neighbor-34: B2VGW1, Distance: 3.210
Nearest neighbor-35: Q9I4Z4, Distance: 3.264
Nearest neighbor-36: Q10168, Distance: 3.369
Nearest neighbor-37: B0BU11, Distance: 3.439
Nearest neighbor-38: B4S170, Distance: 3.465
Nearest neighbor-39: Q7VN63, Distance: 3.554
Nearest neighbor-40: P66888, Distance: 3.581
Nearest neighbor-41: P66887, Distance: 3.581
Nearest neighbor-42: A1W0G0, Distance: 3.596
Nearest neighbor-43: A6VT98, Distance: 3.607
Nearest neighbor-44: P0A2H6, Distance: 3.667
Nearest neighbor-45: C3MBT9, Distance: 3.700
Nearest neighbor-46: Q11HC5, Distance: 3.708
Nearest neighbor-47: A7GWS4, Distance: 3.713
Nearest neighbor-48: Q92Q25, Distance: 3.731
Nearest neighbor-49: P08286, Distance: 3.865
Nearest neighbor-50: O66477, Distance: 4.134

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q8CQ37, Distance: 0.675
Nearest neighbor-5: Q99RR6, Distance: 0.750
Nearest neighbor-6: Q9AE24, Distance: 0.779
Nearest neighbor-7: P28257, Distance: 0.784
Nearest neighbor-8: P0CAW8, Distance: 0.789
Nearest neighbor-9: A6WZ81, Distance: 0.853
Nearest neighbor-10: P45189, Distance: 0.885
Nearest neighbor-11: A0A0H2UQ68, Distance: 0.956
Nearest neighbor-12: P0A4H8, Distance: 0.980
Nearest neighbor-13: P0C000, Distance: 1.055
Nearest neighbor-14: Q2FH23, Distance: 1.055
Nearest neighbor-15: Q5HPC3, Distance: 1.102
Nearest neighbor-16: Q1XDE4, Distance: 1.169
Nearest neighbor-17: P0AA17, Distance: 1.215
Nearest neighbor-18: A0A0H3NGY1, Distance: 1.215
Nearest neighbor-19: Q9KM23, Distance: 1.239
Nearest neighbor-20: P26319, Distance: 1.248
Nearest neighbor-21: P96686, Distance: 1.275
Nearest neighbor-22: Q55890, Distance: 1.354
Nearest neighbor-23: Q7A3U5, Distance: 1.360
Nearest neighbor-24: Q5HEP0, Distance: 1.371
Nearest neighbor-25: Q6G850, Distance: 1.383
Nearest neighbor-26: Q6GFH3, Distance: 1.383
Nearest neighbor-27: P44845, Distance: 1.383
Nearest neighbor-28: P23620, Distance: 1.449
Nearest neighbor-29: Q52376, Distance: 1.494
Nearest neighbor-30: Q52990, Distance: 1.733
Nearest neighbor-31: Q9ZM64, Distance: 1.744
Nearest neighbor-32: Q8GVV6, Distance: 1.750
Nearest neighbor-33: A1W0A5, Distance: 1.752
Nearest neighbor-34: A6QJN2, Distance: 1.772
Nearest neighbor-35: Q4L8Q7, Distance: 1.818
Nearest neighbor-36: Q2KCH7, Distance: 1.826
Nearest neighbor-37: A5VUU3, Distance: 1.826
Nearest neighbor-38: A9MBQ2, Distance: 1.826
Nearest neighbor-39: Q73RG3, Distance: 1.844
Nearest neighbor-40: Q8D5Z6, Distance: 1.852
Nearest neighbor-41: Q8CR97, Distance: 1.897
Nearest neighbor-42: A6LRL7, Distance: 2.045
Nearest neighbor-43: P44578, Distance: 2.066
Nearest neighbor-44: A0PZS6, Distance: 2.121
Nearest neighbor-45: P26778, Distance: 2.136
Nearest neighbor-46: O34994, Distance: 2.151
Nearest neighbor-47: C3P7L0, Distance: 2.154
Nearest neighbor-48: A9VFH8, Distance: 2.154
Nearest neighbor-49: Q819B3, Distance: 2.173
Nearest neighbor-50: P44790, Distance: 2.503

Query: A0A009PCK4
Nearest neighbor-1: P14181, Distance: 1.671
Nearest neighbor-2: A5UG81, Distance: 1.720
Nearest neighbor-3: Q4QLU9, Distance: 1.912
Nearest neighbor-4: Q7MHY6, Distance: 2.008
Nearest neighbor-5: A1SW96, Distance: 2.015
Nearest neighbor-6: Q7MAX6, Distance: 2.036
Nearest neighbor-7: Q87PM1, Distance: 2.038
Nearest neighbor-8: Q8EIL1, Distance: 2.046
Nearest neighbor-9: A3D8E4, Distance: 2.063
Nearest neighbor-10: B0VRJ4, Distance: 2.069
Nearest neighbor-11: B6EL06, Distance: 2.080
Nearest neighbor-12: Q6G4C4, Distance: 2.088
Nearest neighbor-13: B0V636, Distance: 2.098
Nearest neighbor-14: P20098, Distance: 2.108
Nearest neighbor-15: A6VLF9, Distance: 2.119
Nearest neighbor-16: Q9CPH1, Distance: 2.131
Nearest neighbor-17: E1WH94, Distance: 2.133
Nearest neighbor-18: P0DMD0, Distance: 2.138
Nearest neighbor-19: Q7VM59, Distance: 2.139
Nearest neighbor-20: A1RP91, Distance: 2.148
Nearest neighbor-21: Q3IHQ6, Distance: 2.154
Nearest neighbor-22: B0V7R3, Distance: 2.158
Nearest neighbor-23: B4ET17, Distance: 2.158
Nearest neighbor-24: B7UKC3, Distance: 2.165
Nearest neighbor-25: Q1R5L6, Distance: 2.168
Nearest neighbor-26: A1AGU2, Distance: 2.168
Nearest neighbor-27: P77172, Distance: 2.181
Nearest neighbor-28: C5BC48, Distance: 2.187
Nearest neighbor-29: P23842, Distance: 2.190
Nearest neighbor-30: Q12SP8, Distance: 2.208
Nearest neighbor-31: C3LP59, Distance: 2.208
Nearest neighbor-32: B0UWL8, Distance: 2.213
Nearest neighbor-33: P76261, Distance: 2.235
