IVFPQ

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q9VKK2, Distance: 1.434
Nearest neighbor-15: Q8BX09, Distance: 1.439
Nearest neighbor-16: Q5ZMV9, Distance: 1.462
Nearest neighbor-17: Q20059, Distance: 1.473
Nearest neighbor-18: A1DIN7, Distance: 1.491
Nearest neighbor-19: O35828, Distance: 1.503
Nearest neighbor-20: A3LNM0, Distance: 1.507
Nearest neighbor-21: A2QI22, Distance: 1.511
Nearest neighbor-22: A1CXL0, Distance: 1.532
Nearest neighbor-23: Q96U88, Distance: 1.533
Nearest neighbor-24: Q8CFJ9, Distance: 1.542
Nearest neighbor-25: Q8W4D0, Distance: 1.551
Nearest neighbor-26: Q9VCE9, Distance: 1.566
Nearest neighbor-27: Q7XIT1, Distance: 1.566
Nearest neighbor-28: Q8TEB1, Distance: 1.576
Nearest neighbor-29: Q05B30, Distance: 1.587
Nearest neighbor-30: Q9S7I8, Distance: 1.594
Nearest neighbor-31: A8XSW2, Distance: 1.606
Nearest neighbor-32: A3GFE3, Distance: 1.614
Nearest neighbor-33: Q8TBZ3, Distance: 1.627
Nearest neighbor-34: B0R0D7, Distance: 1.634
Nearest neighbor-35: P0DL28, Distance: 1.636
Nearest neighbor-36: Q4ICG8, Distance: 1.644
Nearest neighbor-37: A5DSU5, Distance: 1.647
Nearest neighbor-38: Q9FMU5, Distance: 1.667
Nearest neighbor-39: Q8BH57, Distance: 1.672
Nearest neighbor-40: A2Y5T7, Distance: 1.674
Nearest neighbor-41: O14186, Distance: 1.675
Nearest neighbor-42: B3H5K9, Distance: 1.675
Nearest neighbor-43: Q8TBC3, Distance: 1.676
Nearest neighbor-44: A6PWY4, Distance: 1.689
Nearest neighbor-45: Q6TEN6, Distance: 1.702
Nearest neighbor-46: Q79LY0, Distance: 1.760
Nearest neighbor-47: B8NDR8, Distance: 1.803
Nearest neighbor-48: P37841, Distance: 1.823
Nearest neighbor-49: Q6CVN2, Distance: 1.829
Nearest neighbor-50: Q5ASR2, Distance: 2.018

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
