IVFPQ

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q8BX09, Distance: 1.439
Nearest neighbor-15: Q5ZMV9, Distance: 1.462
Nearest neighbor-16: Q20059, Distance: 1.473
Nearest neighbor-17: O35828, Distance: 1.503
Nearest neighbor-18: A2QI22, Distance: 1.511
Nearest neighbor-19: A1CXL0, Distance: 1.532
Nearest neighbor-20: Q96U88, Distance: 1.533
Nearest neighbor-21: Q8CFJ9, Distance: 1.542
Nearest neighbor-22: Q8W4D0, Distance: 1.551
Nearest neighbor-23: Q7XIT1, Distance: 1.566
Nearest neighbor-24: Q8TEB1, Distance: 1.576
Nearest neighbor-25: A2QGF0, Distance: 1.594
Nearest neighbor-26: A8XSW2, Distance: 1.606
Nearest neighbor-27: A3GFE3, Distance: 1.614
Nearest neighbor-28: B0R0D7, Distance: 1.634
Nearest neighbor-29: P0DL28, Distance: 1.636
Nearest neighbor-30: A8NZM5, Distance: 1.646
Nearest neighbor-31: A5DSU5, Distance: 1.647
Nearest neighbor-32: Q8BH57, Distance: 1.672
Nearest neighbor-33: A2Y5T7, Distance: 1.674
Nearest neighbor-34: Q872S3, Distance: 1.697
Nearest neighbor-35: B8MJJ8, Distance: 1.704
Nearest neighbor-36: Q7SEZ0, Distance: 1.718
Nearest neighbor-37: Q0P410, Distance: 1.721
Nearest neighbor-38: Q9LTA6, Distance: 1.730
Nearest neighbor-39: Q4WCV3, Distance: 1.749
Nearest neighbor-40: Q51P78, Distance: 1.791
Nearest neighbor-41: Q2QX01, Distance: 1.796
Nearest neighbor-42: P0CN67, Distance: 1.819
Nearest neighbor-43: P0CN59, Distance: 1.832
Nearest neighbor-44: Q7S4I9, Distance: 1.833
Nearest neighbor-45: Q4WPW5, Distance: 1.836
Nearest neighbor-46: P29304, Distance: 1.851
Nearest neighbor-47: Q1E146, Distance: 1.899
Nearest neighbor-48: Q5ASR2, Distance: 2.018
Nearest neighbor-49: Q1DXC2, Distance: 2.045
Nearest neighbor-50: P0CQ01, Distance: 2.062

Query: A0A009I3Y5
Nearest neighbor-1: P14181, Distance: 1.687
Nearest neighbor-2: A5UG81, Distance: 1.750
Nearest neighbor-3: P44033, Distance: 1.860
Nearest neighbor-4: Q4QLU9, Distance: 1.906
Nearest neighbor-5: A9KYL6, Distance: 1.985
Nearest neighbor-6: Q7MHY6, Distance: 2.003
Nearest neighbor-7: B2J946, Distance: 2.008
