IVFPQ

Query: A0A002
Nearest neighbor-1: Q51719, Distance: 1.778
Nearest neighbor-2: Q7VZE5, Distance: 1.898
Nearest neighbor-3: Q3JSR6, Distance: 1.904
Nearest neighbor-4: Q9RKQ4, Distance: 1.961
Nearest neighbor-5: Q9ZEP3, Distance: 2.004
Nearest neighbor-6: Q5P6D5, Distance: 2.012
Nearest neighbor-7: A3Q5L8, Distance: 2.027
Nearest neighbor-8: A1K323, Distance: 2.057
Nearest neighbor-9: Q63NR0, Distance: 2.071
Nearest neighbor-10: Q2NSZ1, Distance: 2.104
Nearest neighbor-11: C7MSY6, Distance: 2.128
Nearest neighbor-12: A0K5N5, Distance: 2.137
Nearest neighbor-13: P9WGK4, Distance: 2.148
Nearest neighbor-14: P64708, Distance: 2.150
Nearest neighbor-15: A5WJJ8, Distance: 2.150
Nearest neighbor-16: A4X1R6, Distance: 2.156
Nearest neighbor-17: D2Q1C4, Distance: 2.172
Nearest neighbor-18: Q82G92, Distance: 2.188
Nearest neighbor-19: Q4K9A4, Distance: 2.193
Nearest neighbor-20: A0QF52, Distance: 2.206
Nearest neighbor-21: B1VN94, Distance: 2.253
Nearest neighbor-22: Q9PF03, Distance: 2.254
Nearest neighbor-23: C1AU55, Distance: 2.262
Nearest neighbor-24: P33973, Distance: 2.263
Nearest neighbor-25: Q4UV71, Distance: 2.264
Nearest neighbor-26: Q9RQQ9, Distance: 2.274
Nearest neighbor-27: Q9HUI3, Distance: 2.334
Nearest neighbor-28: A5CS51, Distance: 2.335
Nearest neighbor-29: P9WQ35, Distance: 2.339
Nearest neighbor-30: E1V4F9, Distance: 2.347
Nearest neighbor-31: Q9EX73, Distance: 2.348
Nearest neighbor-32: A0QS28, Distance: 2.358
Nearest neighbor-33: P9WI82, Distance: 2.408
Nearest neighbor-34: A9W3H8, Distance: 2.442
Nearest neighbor-35: P9WK85, Distance: 2.502
Nearest neighbor-36: A9IMI9, Distance: 2.544
Nearest neighbor-37: Q7W6L5, Distance: 2.546
Nearest neighbor-38: P67233, Distance: 2.550
Nearest neighbor-39: Q5PNG2, Distance: 2.604
Nearest neighbor-40: B4TDB7, Distance: 2.604
Nearest neighbor-41: B5R5A3, Distance: 2.604
Nearest neighbor-42: Q57LG8, Distance: 2.604
Nearest neighbor-43: A8A337, Distance: 2.606
Nearest neighbor-44: B5Z105, Distance: 2.622
Nearest neighbor-45: Q7U1S4, Distance: 2.629
Nearest neighbor-46: B1LVB8, Distance: 2.638
Nearest neighbor-47: Q8PF23, Distance: 2.661
Nearest neighbor-48: A7MFZ8, Distance: 2.675
Nearest neighbor-49: Q7WF92, Distance: 2.687
Nearest neighbor-50: O69219, Distance: 2.744

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: B5XWP9, Distance: 2.557
Nearest neighbor-12: A9N025, Distance: 2.626
Nearest neighbor-13: A8AH10, Distance: 2.644
Nearest neighbor-14: C6DH15, Distance: 2.663
Nearest neighbor-15: P57003, Distance: 2.721
Nearest neighbor-16: Q9Z4H7, Distance: 2.725
Nearest neighbor-17: O06432, Distance: 2.765
Nearest neighbor-18: Q4R4J7, Distance: 2.806
Nearest neighbor-19: B0RLE5, Distance: 2.857
Nearest neighbor-20: P08003, Distance: 2.937
Nearest neighbor-21: B4RCD1, Distance: 2.938
Nearest neighbor-22: A3P6Z9, Distance: 2.939
Nearest neighbor-23: Q00248, Distance: 2.940
Nearest neighbor-24: I1WUC2, Distance: 2.942
Nearest neighbor-25: Q62B05, Distance: 2.952
Nearest neighbor-26: Q6FS54, Distance: 2.998
Nearest neighbor-27: A1AV44, Distance: 3.009
Nearest neighbor-28: P0CR01, Distance: 3.042
Nearest neighbor-29: P0CR00, Distance: 3.042
Nearest neighbor-30: B7JYX3, Distance: 3.081
Nearest neighbor-31: O34966, Distance: 3.122
Nearest neighbor-32: P25888, Distance: 3.142
Nearest neighbor-33: Q8DQ24, Distance: 3.149
Nearest neighbor-34: C1CK62, Distance: 3.150
Nearest neighbor-35: A6SEH9, Distance: 3.153
Nearest neighbor-36: P55142, Distance: 3.153
Nearest neighbor-37: Q9SDD6, Distance: 3.177
Nearest neighbor-38: Q6P4K8, Distance: 3.184
Nearest neighbor-39: Q0J9V5, Distance: 3.187
Nearest neighbor-40: Q9L7M1, Distance: 3.199
Nearest neighbor-41: Q63GX5, Distance: 3.215
Nearest neighbor-42: Q81VG0, Distance: 3.225
Nearest neighbor-43: Q8SRB2, Distance: 3.255
Nearest neighbor-44: Q9I4Z4, Distance: 3.264
Nearest neighbor-45: P86750, Distance: 3.345
Nearest neighbor-46: P02619, Distance: 3.400
Nearest neighbor-47: P0C180, Distance: 3.423
Nearest neighbor-48: P00088, Distance: 3.430
