IVFPQ

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q68XI8, Distance: 2.551
Nearest neighbor-11: P0ADA3, Distance: 2.698
Nearest neighbor-12: Q9Z4H7, Distance: 2.725
Nearest neighbor-13: O06432, Distance: 2.765
Nearest neighbor-14: A5TY84, Distance: 2.767
Nearest neighbor-15: Q6G9D9, Distance: 2.771
Nearest neighbor-16: P54744, Distance: 2.774
Nearest neighbor-17: Q4R4J7, Distance: 2.806
Nearest neighbor-18: A6ZQH3, Distance: 2.837
Nearest neighbor-19: B0RLE5, Distance: 2.857
Nearest neighbor-20: Q9TYV5, Distance: 2.861
Nearest neighbor-21: O52042, Distance: 2.904
Nearest neighbor-22: P08003, Distance: 2.937
Nearest neighbor-23: B4RCD1, Distance: 2.938
Nearest neighbor-24: A3P6Z9, Distance: 2.939
Nearest neighbor-25: Q00248, Distance: 2.940
Nearest neighbor-26: I1WUC2, Distance: 2.942
Nearest neighbor-27: Q62B05, Distance: 2.952
Nearest neighbor-28: Q8FEI7, Distance: 2.952
Nearest neighbor-29: P9WI82, Distance: 2.962
Nearest neighbor-30: A8ANX1, Distance: 2.987
Nearest neighbor-31: Q7RYV0, Distance: 3.002
Nearest neighbor-32: A1AV44, Distance: 3.009
Nearest neighbor-33: Q2UA18, Distance: 3.012
Nearest neighbor-34: A7MJ63, Distance: 3.043
Nearest neighbor-35: Q11HC6, Distance: 3.044
Nearest neighbor-36: P13113, Distance: 3.074
Nearest neighbor-37: Q51463, Distance: 3.130
Nearest neighbor-38: Q2HWU2, Distance: 3.131
Nearest neighbor-39: Q9FF55, Distance: 3.134
Nearest neighbor-40: P04785, Distance: 3.136
Nearest neighbor-41: P09103, Distance: 3.145
Nearest neighbor-42: Q5R5B6, Distance: 3.148
Nearest neighbor-43: Q9SDD6, Distance: 3.177
Nearest neighbor-44: Q5RDG4, Distance: 3.200
Nearest neighbor-45: O52069, Distance: 3.287
Nearest neighbor-46: D3GME4, Distance: 3.305
Nearest neighbor-47: A7MAZ5, Distance: 3.729
Nearest neighbor-48: P02251, Distance: 3.757
Nearest neighbor-49: P43277, Distance: 3.798
Nearest neighbor-50: P08286, Distance: 3.865

Query: A0A009HPM0
Nearest neighbor-1: B2TWG0, Distance: 1.437
Nearest neighbor-2: B1LNS5, Distance: 1.449
Nearest neighbor-3: Q88XP4, Distance: 1.452
Nearest neighbor-4: A1RP91, Distance: 1.454
Nearest neighbor-5: Q5PK68, Distance: 1.457
Nearest neighbor-6: B5BJN9, Distance: 1.457
Nearest neighbor-7: Q5E320, Distance: 1.480
Nearest neighbor-8: B0VRJ4, Distance: 1.482
Nearest neighbor-9: Q7MHY6, Distance: 1.486
Nearest neighbor-10: A6VLF9, Distance: 1.487
Nearest neighbor-11: Q7MAX6, Distance: 1.495
Nearest neighbor-12: A3QHZ8, Distance: 1.497
Nearest neighbor-13: B0VKL3, Distance: 1.506
Nearest neighbor-14: A8GL74, Distance: 1.512
Nearest neighbor-15: Q12SP8, Distance: 1.523
Nearest neighbor-16: A3D8E4, Distance: 1.525
Nearest neighbor-17: C5BC48, Distance: 1.536
Nearest neighbor-18: B1IRN3, Distance: 1.543
Nearest neighbor-19: B6EL06, Distance: 1.543
Nearest neighbor-20: B4ET17, Distance: 1.559
Nearest neighbor-21: Q9CL07, Distance: 1.567
Nearest neighbor-22: Q3IHQ6, Distance: 1.579
Nearest neighbor-23: Q65R09, Distance: 1.583
Nearest neighbor-24: B5BG31, Distance: 1.584
Nearest neighbor-25: A4TQK1, Distance: 1.585
Nearest neighbor-26: Q7VP87, Distance: 1.587
Nearest neighbor-27: A3DA85, Distance: 1.588
Nearest neighbor-28: Q8EIL1, Distance: 1.593
Nearest neighbor-29: Q0I4C6, Distance: 1.603
Nearest neighbor-30: Q6D3S2, Distance: 1.623
Nearest neighbor-31: Q4QLU9, Distance: 1.629
Nearest neighbor-32: B0BTY3, Distance: 1.630
Nearest neighbor-33: Q3MEJ8, Distance: 1.649
Nearest neighbor-34: A9MRB9, Distance: 1.653
Nearest neighbor-35: B5F512, Distance: 1.656
Nearest neighbor-36: B0BTC2, Distance: 1.657
Nearest neighbor-37: B3ER86, Distance: 1.657
Nearest neighbor-38: B2TZQ2, Distance: 1.686
Nearest neighbor-39: Q9RHS9, Distance: 1.690
Nearest neighbor-40: Q1CGA8, Distance: 1.694
Nearest neighbor-41: Q12R91, Distance: 1.695
Nearest neighbor-42: P45544, Distance: 1.725
Nearest neighbor-43: Q57R80, Distance: 1.728
Nearest neighbor-44: B0V7R3, Distance: 1.730
Nearest neighbor-45: B1JQP6, Distance: 1.744
Nearest neighbor-46: Q5PGN2, Distance: 1.756
Nearest neighbor-47: Q8ZAX8, Distance: 1.811
Nearest neighbor-48: C5BED3, Distance: 1.814
Nearest neighbor-49: Q74SR9, Distance: 1.863
Nearest neighbor-50: Q9KU62, Distance: 1.926

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q9VKK2, Distance: 1.434
Nearest neighbor-15: Q8BX09, Distance: 1.439
Nearest neighbor-16: Q5ZMV9, Distance: 1.462
Nearest neighbor-17: Q20059, Distance: 1.473
Nearest neighbor-18: O35828, Distance: 1.503
Nearest neighbor-19: A3LNM0, Distance: 1.507
Nearest neighbor-20: A1CXL0, Distance: 1.532
Nearest neighbor-21: Q96U88, Distance: 1.533
Nearest neighbor-22: Q8W4D0, Distance: 1.551
Nearest neighbor-23: P36002, Distance: 1.582
Nearest neighbor-24: Q05B30, Distance: 1.587
Nearest neighbor-25: Q9S7I8, Distance: 1.594
Nearest neighbor-26: Q4R4I8, Distance: 1.613
Nearest neighbor-27: A3GFE3, Distance: 1.614
Nearest neighbor-28: B0R0D7, Distance: 1.634
Nearest neighbor-29: B4GMG4, Distance: 1.636
Nearest neighbor-30: Q4ICG8, Distance: 1.644
Nearest neighbor-31: A8NZM5, Distance: 1.646
Nearest neighbor-32: A5DSU5, Distance: 1.647
