Neural LSH

Query: A0A009HN45
Nearest neighbor-1: A6QKD8, Distance: 0.143
Nearest neighbor-2: A7MSB2, Distance: 0.144
Nearest neighbor-3: Q3K063, Distance: 0.152
Nearest neighbor-4: Q9ZDW2, Distance: 0.153
Nearest neighbor-5: Q1MQP3, Distance: 0.154
Nearest neighbor-6: Q7VJC6, Distance: 0.160
Nearest neighbor-7: B0BT63, Distance: 0.160
Nearest neighbor-8: Q92H92, Distance: 0.163
Nearest neighbor-9: P52126, Distance: 0.163
Nearest neighbor-10: Q0HMR2, Distance: 0.165
Nearest neighbor-11: Q99ZA5, Distance: 0.165
Nearest neighbor-12: Q1JBD1, Distance: 0.165
Nearest neighbor-13: Q821L5, Distance: 0.165
Nearest neighbor-14: Q0HR19, Distance: 0.165
Nearest neighbor-15: A8GSU6, Distance: 0.165
Nearest neighbor-16: A8GVH8, Distance: 0.166
Nearest neighbor-17: P0C9B2, Distance: 0.171
Nearest neighbor-18: Q5X0E6, Distance: 0.172
Nearest neighbor-19: A1A7A6, Distance: 0.177
Nearest neighbor-20: Q9ZKA0, Distance: 0.177
Nearest neighbor-21: Q03AL7, Distance: 0.178
Nearest neighbor-22: A7ZW09, Distance: 0.178
Nearest neighbor-23: Q50939, Distance: 0.179
Nearest neighbor-24: C0MBD7, Distance: 0.180
Nearest neighbor-25: Q54986, Distance: 0.182
Nearest neighbor-26: B1IC35, Distance: 0.184
Nearest neighbor-27: Q2WCN1, Distance: 0.184
Nearest neighbor-28: A7FKM4, Distance: 0.185
Nearest neighbor-29: Q49VV6, Distance: 0.186
Nearest neighbor-30: Q5PDF0, Distance: 0.187
Nearest neighbor-31: Q2LTP4, Distance: 0.188
Nearest neighbor-32: B5FI41, Distance: 0.189
Nearest neighbor-33: A3CNJ9, Distance: 0.189
Nearest neighbor-34: Q8CWX7, Distance: 0.190
Nearest neighbor-35: Q8F8A9, Distance: 0.190
Nearest neighbor-36: O84707, Distance: 0.191
Nearest neighbor-37: Q32743, Distance: 0.192
Nearest neighbor-38: Q71WT9, Distance: 0.193
Nearest neighbor-39: A3PFC8, Distance: 0.195
