Hypercube

Query: A0A009HPM0
Nearest neighbor-1: Q612F5, Distance: 0.038
Nearest neighbor-2: Q5I0C3, Distance: 0.040
Nearest neighbor-3: Q12KL2, Distance: 0.043
Nearest neighbor-4: P44440, Distance: 0.046
Nearest neighbor-5: Q9CP74, Distance: 0.047
Nearest neighbor-6: Q8DXM9, Distance: 0.047
Nearest neighbor-7: A5F3L5, Distance: 0.047
Nearest neighbor-8: P57029, Distance: 0.047
Nearest neighbor-9: P07244, Distance: 0.047
Nearest neighbor-10: A8GKD1, Distance: 0.050
Nearest neighbor-11: B4F0D4, Distance: 0.050
Nearest neighbor-12: B8F632, Distance: 0.050
Nearest neighbor-13: Q4FVH5, Distance: 0.051
Nearest neighbor-14: P77439, Distance: 0.051
Nearest neighbor-15: B0BTY3, Distance: 0.052
Nearest neighbor-16: Q7MLM1, Distance: 0.052
Nearest neighbor-17: B1J2C0, Distance: 0.052
Nearest neighbor-18: A5F4F5, Distance: 0.053
Nearest neighbor-19: A1UQU7, Distance: 0.053
Nearest neighbor-20: Q7MPF2, Distance: 0.053
Nearest neighbor-21: Q08346, Distance: 0.054
Nearest neighbor-22: C3LRM1, Distance: 0.054
Nearest neighbor-23: Q5X0Z8, Distance: 0.054
Nearest neighbor-24: B2K9Z2, Distance: 0.054
Nearest neighbor-25: B2TY45, Distance: 0.054
Nearest neighbor-26: A1AJ76, Distance: 0.054
Nearest neighbor-27: Q5WSS4, Distance: 0.055
Nearest neighbor-28: B4SYE2, Distance: 0.055
Nearest neighbor-29: C4L8P1, Distance: 0.055
Nearest neighbor-30: B7LYG7, Distance: 0.055
Nearest neighbor-31: Q31WG4, Distance: 0.055
Nearest neighbor-32: B2U0S0, Distance: 0.055
Nearest neighbor-33: A9KFK2, Distance: 0.055
Nearest neighbor-34: P21264, Distance: 0.055
Nearest neighbor-35: Q0SXB2, Distance: 0.055
Nearest neighbor-36: B7N7E6, Distance: 0.056
Nearest neighbor-37: A0KVN8, Distance: 0.056
Nearest neighbor-38: B6J0K9, Distance: 0.056
Nearest neighbor-39: Q3ASZ0, Distance: 0.056
Nearest neighbor-40: Q7VKR0, Distance: 0.056
Nearest neighbor-41: B1KHV0, Distance: 0.056
Nearest neighbor-42: Q8DII3, Distance: 0.057
Nearest neighbor-43: A3N262, Distance: 0.057
Nearest neighbor-44: C0MEP5, Distance: 0.057
Nearest neighbor-45: B3EUH5, Distance: 0.057
Nearest neighbor-46: C6DFP4, Distance: 0.057
Nearest neighbor-47: A3D085, Distance: 0.057
Nearest neighbor-48: A7ZTV2, Distance: 0.057
Nearest neighbor-49: B1IWZ7, Distance: 0.057
Nearest neighbor-50: C0PY26, Distance: 0.057

