IVFPQ

Query: A0A002
Nearest neighbor-1: Q51719, Distance: 1.778
Nearest neighbor-2: P9WQJ4, Distance: 1.892
Nearest neighbor-3: Q9RKQ4, Distance: 1.961
Nearest neighbor-4: Q13RD3, Distance: 1.970
Nearest neighbor-5: Q87UH7, Distance: 2.047
Nearest neighbor-6: Q63NR0, Distance: 2.071
Nearest neighbor-7: C7MSY6, Distance: 2.128
Nearest neighbor-8: D3KU66, Distance: 2.145
Nearest neighbor-9: A5WJJ8, Distance: 2.150
Nearest neighbor-10: P64708, Distance: 2.150
Nearest neighbor-11: A4X1R6, Distance: 2.156
Nearest neighbor-12: D2Q1C4, Distance: 2.172
Nearest neighbor-13: Q82G92, Distance: 2.188
Nearest neighbor-14: A0QF52, Distance: 2.206
Nearest neighbor-15: Q8Y0C6, Distance: 2.232
Nearest neighbor-16: C1AU55, Distance: 2.262
Nearest neighbor-17: Q9HPH7, Distance: 2.263
Nearest neighbor-18: Q11D92, Distance: 2.279
Nearest neighbor-19: Q5YYX9, Distance: 2.279
Nearest neighbor-20: P9WGX2, Distance: 2.333
Nearest neighbor-21: A5CS51, Distance: 2.335
Nearest neighbor-22: A1UKA3, Distance: 2.340
Nearest neighbor-23: E1V4F9, Distance: 2.347
Nearest neighbor-24: Q92W60, Distance: 2.347
Nearest neighbor-25: B4TGI0, Distance: 2.353
Nearest neighbor-26: A0QS28, Distance: 2.358
Nearest neighbor-27: B7GQ78, Distance: 2.359
Nearest neighbor-28: B8DP79, Distance: 2.360
Nearest neighbor-29: Q1IXV9, Distance: 2.372
Nearest neighbor-30: Q1AS21, Distance: 2.378
Nearest neighbor-31: P43161, Distance: 2.433
Nearest neighbor-32: Q3Z542, Distance: 2.454
Nearest neighbor-33: Q1C812, Distance: 2.458
Nearest neighbor-34: B8J6V6, Distance: 2.468
Nearest neighbor-35: Q2KAW9, Distance: 2.501
Nearest neighbor-36: P9WK85, Distance: 2.502
Nearest neighbor-37: B0U4Z7, Distance: 2.529
Nearest neighbor-38: Q8XU66, Distance: 2.545
Nearest neighbor-39: Q7W6L5, Distance: 2.546
Nearest neighbor-40: P64315, Distance: 2.568
Nearest neighbor-41: B2K3G1, Distance: 2.576
Nearest neighbor-42: Q609F9, Distance: 2.587
Nearest neighbor-43: A1JJ55, Distance: 2.619
Nearest neighbor-44: B5FI72, Distance: 2.621
Nearest neighbor-45: Q7U1S4, Distance: 2.629
Nearest neighbor-46: Q8EB59, Distance: 2.659
Nearest neighbor-47: Q57QD7, Distance: 2.670
Nearest neighbor-48: Q7WF92, Distance: 2.687
Nearest neighbor-49: Q9I0F2, Distance: 2.784
Nearest neighbor-50: Q9Z810, Distance: 2.912

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: Q9Z4H7, Distance: 2.725
Nearest neighbor-12: O06432, Distance: 2.765
Nearest neighbor-13: A5TY84, Distance: 2.767
Nearest neighbor-14: P54744, Distance: 2.774
Nearest neighbor-15: Q4R4J7, Distance: 2.806
Nearest neighbor-16: Q4IJH1, Distance: 2.822
Nearest neighbor-17: A6ZQH3, Distance: 2.837
Nearest neighbor-18: Q8CWA2, Distance: 2.839
Nearest neighbor-19: B0RLE5, Distance: 2.857
Nearest neighbor-20: O52042, Distance: 2.904
Nearest neighbor-21: B4RCD1, Distance: 2.938
Nearest neighbor-22: Q8VWG7, Distance: 2.972
Nearest neighbor-23: A8ANX1, Distance: 2.987
Nearest neighbor-24: Q7RYV0, Distance: 3.002
Nearest neighbor-25: Q2UA18, Distance: 3.012
Nearest neighbor-26: Q5FAD2, Distance: 3.014
Nearest neighbor-27: P39046, Distance: 3.025
Nearest neighbor-28: A7MJ63, Distance: 3.043
Nearest neighbor-29: P13113, Distance: 3.074
Nearest neighbor-30: A9LZ73, Distance: 3.085
Nearest neighbor-31: Q2HGF7, Distance: 3.099
Nearest neighbor-32: O34966, Distance: 3.122
Nearest neighbor-33: P25888, Distance: 3.142
Nearest neighbor-34: P56416, Distance: 3.143
Nearest neighbor-35: C1CK62, Distance: 3.150
Nearest neighbor-36: Q5QMN3, Distance: 3.168
Nearest neighbor-37: P0A4D7, Distance: 3.189
