A0A009I3Y5	sp|W7JX98|KGP_PLAFO	36.782	87	52	2	78	161	644	730	1.45e-06	48.5
A0A009PCK4	sp|W7JX98|KGP_PLAFO	36.782	87	52	2	78	161	644	730	7.89e-07	49.3
A0A001	sp|Q2YU20|Y1799_STAAB	27.831	521	319	14	72	572	91	574	3.61e-45	168
A0A002	sp|Q9WYC4|Y288_THEMA	26.087	483	355	2	80	561	111	592	7.75e-68	230
A0A009HL96	sp|A0A0H2UQ68|WALR_STRPN	37.288	236	134	7	13	239	2	232	7.36e-40	137
A0A009HLV9	sp|P28787|NTRC_PROHU	62.527	467	164	3	1	466	15	471	0.0	596
A0A009HN45	sp|A7MSB2|RAPA_VIBC1	28.632	234	153	4	122	346	107	335	3.29e-22	103
A0A009HQC9	sp|Q9HYT6|RAPA_PSEAE	46.362	962	478	14	1	939	3	949	0.0	803
A0A009HPM0	sp|Q5I0C3|MCCA_RAT	46.796	671	343	7	4	662	47	715	0.0	603
A0A009IB02	sp|P10802|ODP2_AZOVI	45.821	670	314	12	3	659	5	638	1.03e-148	445
A0A010Q3W2	sp|O82266|SWA1_ARATH	26.742	531	353	11	11	531	20	524	1.28e-43	162
A0A010Q8R4	sp|O74845|HIF2_SCHPO	23.372	261	166	9	443	697	270	502	8.54e-08	55.8
